areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,10/06/2021,201
K02000001,United Kingdom,overview,09/06/2021,193
K02000001,United Kingdom,overview,08/06/2021,190
K02000001,United Kingdom,overview,07/06/2021,175
K02000001,United Kingdom,overview,06/06/2021,154
K02000001,United Kingdom,overview,05/06/2021,126
K02000001,United Kingdom,overview,04/06/2021,123
K02000001,United Kingdom,overview,03/06/2021,126
K02000001,United Kingdom,overview,02/06/2021,129
K02000001,United Kingdom,overview,01/06/2021,154
