,pop_dens,footprint,Population,DEV_CMI,UC_NM_MN
10533,14251.167161878584,10.1,3517000.0,LDC,Taiyuan
13044,3833.6357562674425,11.7,3533000.0,MDR,Sydney
898,3853.6796372108515,19.5,3591000.0,MDR,Philadelphia
314,1836.293503066093,14.6,4524000.0,MDR,Houston
322,1797.5711147563775,16.5,4674000.0,MDR,Dallas
5916,17203.191695039088,22.3,4971000.0,LDC,Dubai
555,2343.0618587472,16.0,5031000.0,MDR,Miami
875,3434.52935016735,9.7,5055000.0,MDR,Toronto
5699,9055.110193967086,20.7,5747000.0,LDC,Riyadh
2311,22167.525642691628,10.0,6942000.0,MDR,Cologne
633,2583.4139685569758,21.1,7260000.0,MDR,Chicago
10923,17094.523990689908,9.0,7971000.0,LDC,Tianjin
1913,7328.127625422331,10.4,9486000.0,MDR,London
834,89455.48210400644,10.4,9486000.0,MDR,London
3674,12271.724886687598,9.5,11049000.0,LDC,Johannesburg
12390,19692.554910980838,13.0,21254000.0,LDC,Seoul
