,yfit,xfit,doctors_per_10000,life_expectancy
0,61.70545262756192,0.36,21.58,78.57
1,61.852571013808436,0.4439239239239239,17.19,76.88
2,61.99866614177724,0.5278478478478479,37.6,83.44
3,62.143743398939336,0.6117717717717718,52.11,81.54
4,62.287808154243564,0.6956956956956957,5.81,72.59
5,62.43086575814751,0.7796196196196196,31.15,81.63
6,62.57292154264834,0.8635435435435436,10.78,74.62
7,62.71398082131364,0.9474674674674675,0.79,61.77
8,62.854048889312324,1.0313913913913915,4.24,71.78
9,62.99313102344543,1.1153153153153152,2.89,69.59
10,63.131232482177026,1.199239239239239,42.07,75.05
11,63.26835850566503,1.283163163163163,0.85,61.58
12,63.404514315792085,1.367087087087087,24.25,82.43
13,63.53970511619643,1.451011011011011,51.82,80.18
14,63.67393609230271,1.534934934934935,38.44,77.29
15,63.807212411352886,1.6188588588588586,28.94,80.28
16,63.93953922243705,1.7027827827827826,1.61,57.78
17,64.07092165652432,1.7867067067067066,84.2,78.8
18,64.20136482649364,1.8706306306306306,40.24,79.38
19,64.33087382716471,1.9545545545545546,42.25,80.9
20,64.45945373532878,2.038478478478478,11.03,75.0
21,64.58710960977955,2.122402402402402,14.1,74.08
22,64.71384649134399,2.206326326326326,7.69,71.99
23,64.83966940291322,2.29025025025025,28.7,73.32
24,64.96458334947336,2.374174174174174,0.77,66.6
25,65.08859331813639,2.4580980980980978,46.4,81.91
26,65.21170427817101,2.5420220220220218,65.34,82.66
27,65.33392118103347,2.6259459459459458,71.2,73.77
28,65.45524896039848,2.7098698698698698,43.0,81.33
29,65.57569253218998,2.793793793793794,0.96,64.07
30,65.6952567946121,2.8777177177177173,62.26,82.24
31,65.81394662817998,2.9616416416416413,14.36,72.4
32,65.93176689575053,3.0455655655655653,3.55,74.3
33,66.04872244255345,3.1294894894894894,18.19,69.91
34,66.16481809622198,3.2134134134134134,2.34,64.0
35,66.28005866682378,3.297337337337337,34.08,76.88
36,66.39444894689179,3.381261261261261,40.78,82.99
37,66.50799371145507,3.465185185185185,6.86,69.66
38,66.6206977180697,3.549109109109109,4.27,71.72
39,66.73256570684963,3.633033033033033,15.84,76.68
40,66.84360240049743,3.7169569569569565,7.08,70.6
41,66.95381250433532,3.8008808808808805,33.13,82.3
42,67.06320070633588,3.8848048048048045,69.44,82.97
43,67.17177167715302,3.9687287287287285,79.27,83.51
44,67.27953007015272,4.052652652652653,24.8,84.63
45,67.386480521444,4.1365765765765765,1.57,66.7
46,67.49262764990969,4.2205005005005,33.02,75.29
47,67.59797605723736,4.3044244244244245,21.04,78.93
48,67.70253032795009,4.388348348348349,63.53,75.93
49,67.8062950294374,4.4722722722722725,0.36,64.26
50,67.90927471198609,4.556196196196196,17.08,78.92
51,68.01147390881107,4.6401201201201205,1.29,59.31
52,68.11289713608623,4.724044044044044,1.87,64.92
53,68.21354889297534,4.8079679679679685,25.33,74.99
54,68.31343366166281,4.891891891891892,48.5,75.05
55,68.41255590738464,4.975815815815816,38.52,69.87
56,68.51092007845926,5.05973973973974,27.56,76.88
57,68.60853060631831,5.143663663663664,0.84,60.85
58,68.70539190553758,5.227587587587588,6.77,67.13
59,68.80150837386786,5.311511511511512,7.49,70.78
60,68.89688439226576,5.395435435435435,37.07,82.28
61,68.99152432492458,5.47935935935936,34.21,82.29
62,69.08543251930517,5.563283283283283,16.65,74.48
63,69.1786133061668,5.647207207207208,3.81,54.69
64,69.27107099959798,5.731131131131131,47.84,82.4
65,69.36280989704734,5.815055055055055,20.03,77.86
66,69.45383427935452,5.898978978978979,9.8,67.27
67,69.54414841078098,5.982902902902903,16.06,78.51
68,69.63375653904083,6.066826826826827,0.7,64.5
69,69.72266289533177,6.150750750750751,13.54,74.25
70,69.81087169436587,6.234674674674674,8.2,76.74
71,69.89838713440051,6.318598598598599,53.12,82.05
72,69.98521339726912,6.402522522522522,24.85,80.23
73,70.07135464841214,6.486446446446447,44.4,72.58
74,70.15681503690783,6.57037037037037,1.34,69.02
75,70.24159869550314,6.654294294294294,27.67,76.23
76,70.32570974064456,6.738218218218218,26.12,75.13
77,70.40915227250898,6.822142142142142,24.72,73.4
78,70.49193037503451,6.906066066066066,0.74,54.7
79,70.57404811595144,6.98998998998999,35.17,77.54
80,70.65550954681297,7.0739139139139136,31.72,81.32
81,70.73631870302614,7.157837837837838,7.87,64.13
82,70.81647960388267,7.241761761761762,24.08,83.03
83,70.89599625258984,7.325685685685686,40.3,83.56
84,70.97487263630128,7.40960960960961,10.04,76.98
85,71.05311272614793,7.493533533533534,8.19,71.68
86,71.13072047726877,7.577457457457458,43.33,83.78
87,71.20769982884178,7.661381381381381,8.05,77.15
88,71.28405470411478,7.745305305305306,0.77,61.04
89,71.35978901043622,7.829229229229229,54.07,73.51
90,71.43490663928611,7.913153153153154,18.07,77.69
91,71.50941146630686,7.997077077077077,25.28,77.97
92,71.58330735133408,8.081001001001,56.16,81.32
93,71.65659813842755,8.164924924924925,26.04,78.86
94,71.72928765590197,8.248848848848848,2.1,61.49
95,71.80137971635783,8.332772772772772,,
96,71.87287811671236,8.416696696696697,,
97,71.94378663823025,8.50062062062062,,
98,72.01410904655464,8.584544544544544,,
99,72.08384909173785,8.668468468468468,,
100,72.15301050827235,8.752392392392391,,
101,72.22159701512153,8.836316316316315,,
102,72.28961231575062,8.92024024024024,,
103,72.35706009815749,9.004164164164163,,
104,72.42394403490357,9.088088088088087,,
105,72.49026778314463,9.172012012012011,,
106,72.55603498466171,9.255935935935936,,
107,72.62124926589192,9.339859859859859,,
108,72.68591423795935,9.423783783783783,,
109,72.75003349670587,9.507707707707707,,
110,72.81361062272204,9.59163163163163,,
111,72.87664918137793,9.675555555555555,,
112,72.93915272285398,9.759479479479479,,
113,73.00112478217184,9.843403403403402,,
114,73.06256887922532,9.927327327327326,,
115,73.12348851881114,10.01125125125125,,
116,73.18388719065979,10.095175175175175,,
117,73.24376836946647,10.179099099099098,,
118,73.30313551492185,10.263023023023022,,
119,73.36199207174305,10.346946946946947,,
120,73.42034146970433,10.43087087087087,,
