,x1var,x2var,x3var,y_test,y_pred
15,4.111270549893214,3.6999999999999993,12.376334272831688,6.255336836590248,6.279057606435237
333,4.046236556883438,4.600000000000001,12.245769206988152,6.292781754880502,6.249663555915817
54,3.84495524029932,2.6999999999999993,12.895573185169921,6.183650139497276,6.205045218954967
12,4.190724422988606,1.9999999999999964,12.89596954965985,6.331838023443393,6.3267043505302
159,3.8357853913329034,1.700000000000001,12.2509265011638,6.339062739943282,6.189400219795095
55,3.778268414460971,3.1000000000000014,13.53468360208542,6.152931343701184,6.196951195992661
186,3.9278708106207274,1.2999999999999972,13.667237901989582,6.3262461851170055,6.259139279901458
365,3.761815909995965,0.5999999999999979,12.114932757956764,6.223511659924626,6.165001875659574
39,4.467263360096052,2.700000000000003,12.057387005133974,6.362831643546306,6.3972374322968095
37,4.077393949838122,3.5,11.763847594089658,6.294568433365668,6.252471475847453
149,3.7168797833817973,1.5,11.92649762197229,6.1524025414753565,6.1410218003762935
123,3.587246391327957,3.1000000000000014,11.90295877975531,6.148060446511249,6.089320663918481
85,3.9890513771137286,0.9000000000000021,12.537550287044043,6.240842058394519,6.252711098091954
321,4.604865640318948,5.400000000000006,15.186068244587467,6.567000396265246,6.513982349706328
20,3.6213125078894297,4.099999999999998,12.008877016136763,6.061875280540709,6.099647474693463
163,3.916279861614291,4.300000000000001,11.90949108989136,6.223240330196329,6.19759408274456
171,3.676804320286011,4.299999999999997,12.191309200202687,6.111801911625659,6.122586312246003
378,3.955757783319724,0.5,13.41703248358691,6.292656062298811,6.265558929754377
119,3.923050695055599,5.5000000000000036,13.172626741595812,6.364762778270484,6.227518502760197
3,3.658341975597934,3.200000000000001,11.904420105627121,6.175473073743954,6.1133704995574885
229,5.183784762747667,2.1000000000000014,12.090689851986609,6.610266491460862,6.646692807610831
157,3.2965762316503016,1.6999999999999993,11.904426866061007,6.036341705835396,5.995252129158607
294,4.143646318533266,3.1999999999999993,12.300750807471461,6.45340151449177,6.290284414650222
11,3.9834239684593515,3.0,11.720792928731921,6.141514921553268,6.221134025170916
189,3.7910749402638664,-1.8000000000000007,13.102144343422918,6.246839647806519,6.210316153329537
211,4.330936383125777,3.900000000000002,16.39853495779179,6.381662183085358,6.4572539810322525
89,3.764840287824295,2.1000000000000014,11.24769610001938,6.243305474868676,6.13755864329411
127,4.046410545073937,2.8000000000000007,12.921744236168792,6.2416063035616425,6.274511875972873
272,3.6585651815362756,0.9000000000000004,11.401323288388927,6.184283290884267,6.109929820810359
181,4.154833789945619,4.5000000000000036,14.579862428802235,6.37753780116677,6.3474737455158206
45,3.6916704857316853,-1.1000000000000014,12.083950208274691,6.14940692732251,6.1470823292470085
107,3.6499697179440918,2.8999999999999986,11.940693340392142,6.2240497215214665,6.112659154335549
51,3.6239658035707425,3.099999999999998,12.022846679881798,6.148298434867048,6.105021074971102
285,3.761978330871022,1.5,12.18764387406174,6.271530125480261,6.16323750589512
