,indicator_sh_urb,country,countryiso3code_sh_urb,date_sh_urb,value_sh_urb,decimal_sh_urb,indicator_tot_pop,countryiso3code_tot_pop,date_tot_pop,value_tot_pop,decimal_tot_pop,iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,total_cases_ln,total_deaths_ln
20,Urban population (% of total population),Indonesia,IDN,2019,55.985,0,"Population, total",IDN,2019,270625567.0,0,IDN,Asia,Indonesia,2022-01-14,4269740.0,850.0,650.429,144163.0,8.0,6.0,15449.82,3.076,2.354,521.646,0.029,0.022,1.66,276361788.0,145.725,29.3,5.319,3.053,11188.744,342.864,6.32,71.72,0.718,15.267063493421198,11.878699882836512
14,Urban population (% of total population),"Egypt, Arab Rep.",EGY,2019,42.73,0,"Population, total",EGY,2019,100388076.0,0,EGY,Africa,Egypt,2022-01-14,397778.0,1079.0,951.857,22097.0,34.0,26.857,3815.312,10.349,9.13,211.945,0.326,0.258,1.07,104258327.0,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,71.99,0.707,12.893649339699726,10.003197131685106
50,Urban population (% of total population),Ukraine,UKR,2019,69.473,0,"Population, total",UKR,2019,44386203.0,0,UKR,Europe,Ukraine,2022-01-14,3919151.0,10682.0,6017.0,104521.0,154.0,155.286,90164.195,245.751,138.427,2404.616,3.543,3.573,1.09,43466822.0,77.39,41.4,16.462,11.133,7894.393,539.849,7.11,72.06,0.779,15.181385606676804,11.557143287135661
38,Urban population (% of total population),Philippines,PHL,2019,47.149,0,"Population, total",PHL,2019,108116622.0,0,PHL,Asia,Philippines,2022-01-14,3129512.0,37103.0,31264.0,52815.0,79.0,134.857,28181.892,334.12,281.539,475.61,0.711,1.214,2.98,111046910.0,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,71.23,0.718,14.956387639817892,10.874550520257262
30,Urban population (% of total population),Morocco,MAR,2019,62.994,0,"Population, total",MAR,2019,36471766.0,0,MAR,Africa,Morocco,2022-01-14,1034399.0,8501.0,6334.571,14954.0,9.0,8.286,27698.618,227.636,169.624,400.431,0.241,0.222,1.94,37344787.0,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,76.68,0.686,13.84933113969531,9.61273410155986
19,Urban population (% of total population),India,IND,2019,34.472,0,"Population, total",IND,2019,1366417756.0,0,IND,Asia,India,2022-01-14,36850962.0,533035.0,211798.571,485752.0,621.0,327.0,26446.622,382.54,152.0,348.607,0.446,0.235,2.04,1393409033.0,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,69.66,0.645,17.422392282093334,13.093453484575523
53,Urban population (% of total population),Uzbekistan,UZB,2019,50.433,0,"Population, total",UZB,2019,33580350.0,0,UZB,Asia,Uzbekistan,2022-01-14,203297.0,824.0,505.571,1511.0,3.0,3.286,5990.641,24.281,14.898,44.525,0.088,0.097,1.47,33935765.0,76.134,28.2,4.469,2.873,6253.104,724.417,7.57,71.72,0.72,12.222423242990098,7.32052696227274
55,Urban population (% of total population),Vietnam,VNM,2019,36.628,0,"Population, total",VNM,2019,96462108.0,0,VNM,Asia,Vietnam,2022-01-14,1991484.0,16040.0,18806.143,35341.0,171.0,209.143,20286.317,163.392,191.569,360.002,1.742,2.13,1.03,98168829.0,308.127,32.6,7.15,4.718,6171.884,245.465,6.0,75.4,0.704,14.504390647426446,10.472799042021169
2,Urban population (% of total population),Angola,AGO,2019,66.177,0,"Population, total",AGO,2019,31825299.0,0,AGO,Africa,Angola,2022-01-14,93302.0,721.0,646.714,1852.0,5.0,6.143,2749.545,21.247,19.058,54.577,0.147,0.181,1.01,33933611.0,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,61.15,0.581,11.443596822832907,7.524021415206125
32,Urban population (% of total population),Myanmar,MMR,2019,30.852,0,"Population, total",MMR,2019,54045422.0,0,MMR,Asia,Myanmar,2022-01-14,532851.0,126.0,150.0,19299.0,1.0,1.571,9722.491,2.299,2.737,352.133,0.018,0.029,0.9,54806014.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,67.13,0.583,13.185997114348101,9.86780856007911
